1626686428.87	x	0.0000	y	0.0000	z	0.0000
1626686429.38	x	0.0343	y	0.0091	z	0.0048
1626686429.87	x	0.0322	y	0.1126	z	-0.1101
1626686430.37	x	0.2204	y	0.1912	z	-0.2327
1626686430.87	x	0.1274	y	0.0398	z	-0.0510
1626686431.37	x	0.1665	y	0.0264	z	-0.1012
1626686431.87	x	-0.0175	y	0.0035	z	-0.0054
1626686432.37	x	0.0008	y	-0.0030	z	0.0003
1626686432.87	x	0.0119	y	-0.0029	z	-0.0114
1626686433.37	x	-0.0400	y	-0.0130	z	0.0158
1626686433.87	x	-0.0276	y	-0.0098	z	0.0333
1626686434.37	x	-0.4067	y	-0.4900	z	0.5138
1626686434.88	x	-0.0006	y	-0.1259	z	-0.0925
1626686435.38	x	-0.0230	y	-0.0155	z	-0.0479
1626686435.88	x	-0.0019	y	-0.0208	z	-0.0070
1626686436.37	x	-0.0062	y	-0.0297	z	-0.0059
1626686436.87	x	-0.0046	y	-0.0573	z	0.0045
1626686437.38	x	-0.0032	y	-0.0265	z	0.0029
1626686437.88	x	0.4550	y	0.5099	z	-0.3256
1626686438.38	x	-0.4188	y	-0.0723	z	0.2500
1626686438.88	x	-0.1194	y	-0.3769	z	0.0250
1626686439.38	x	0.3258	y	0.4703	z	-0.1762
1626686439.88	x	-0.0011	y	-0.0215	z	-0.0135
1626686440.38	x	-0.2407	y	-0.4491	z	0.1594
1626686440.88	x	-0.0207	y	-0.0723	z	-0.0000
1626686441.38	x	-0.0345	y	-0.0547	z	-0.0038
1626686441.88	x	-0.0204	y	-0.0229	z	-0.0013
1626686442.38	x	-0.0024	y	-0.0126	z	-0.0027
1626686442.88	x	-0.0105	y	-0.0278	z	-0.0024
1626686443.38	x	-0.0170	y	-0.0278	z	-0.0064
