1626686428.87	x	0.0000	y	0.0000	z	0.0000
1626686429.38	x	0.0171	y	0.0312	z	-0.0051
1626686429.87	x	0.0223	y	0.0889	z	-0.0254
1626686430.37	x	0.0640	y	0.1747	z	-0.1082
1626686430.87	x	0.1194	y	0.2056	z	-0.1691
1626686431.37	x	0.1892	y	0.2431	z	-0.2233
1626686431.87	x	0.2443	y	0.2518	z	-0.2677
1626686432.37	x	0.2409	y	0.2506	z	-0.2657
1626686432.87	x	0.2479	y	0.2499	z	-0.2702
1626686433.37	x	0.2371	y	0.2494	z	-0.2641
1626686433.87	x	0.2328	y	0.2489	z	-0.2591
1626686434.37	x	0.0680	y	0.1849	z	-0.0868
1626686434.88	x	0.0216	y	0.0140	z	-0.0009
1626686435.38	x	0.0195	y	0.0092	z	-0.0012
1626686435.88	x	0.0210	y	0.0100	z	0.0056
1626686436.37	x	0.0195	y	0.0097	z	0.0066
1626686436.87	x	0.0192	y	0.0046	z	0.0085
1626686437.38	x	0.0169	y	-0.0000	z	0.0094
1626686437.88	x	0.1091	y	0.1389	z	-0.0488
1626686438.38	x	0.1779	y	0.2394	z	-0.1099
1626686438.88	x	0.0180	y	0.0384	z	0.0041
1626686439.38	x	0.0608	y	0.0808	z	0.0005
1626686439.88	x	0.2268	y	0.2321	z	-0.0960
1626686440.38	x	0.0613	y	0.1068	z	-0.0046
1626686440.88	x	0.0217	y	0.0024	z	0.0092
1626686441.38	x	0.0150	y	-0.0062	z	0.0092
1626686441.88	x	0.0145	y	-0.0052	z	0.0089
1626686442.38	x	0.0151	y	-0.0038	z	0.0070
1626686442.88	x	0.0177	y	-0.0065	z	0.0080
1626686443.38	x	0.0179	y	-0.0062	z	0.0067
